,DLE CATEGORY,Column,DLE CATEGORY DESCRIPTION,PLO
13,Level of Application of Knowledge," 1.GRK/LAT 18xx courses, CLA 5xxx seminars. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y.", Competence in the research process by applying an existing body of knowledge in the critical analysis of a new question or of a specific problem or issue in a new setting.,
13,Level of Application of Knowledge," 1.GRK/LAT 18xx courses, CLA 5xxx seminars. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y.", Competence in the research process by applying an existing body of knowledge in the critical analysis of a new question or of a specific problem or issue in a new setting.,"Awareness of the diverse methodological approaches to the study of the field and basic competence in the methodologies and techniques appropriate to their specific stream (Literature, Ancient History, Philosophy). "
13,Level of Application of Knowledge," 1.GRK/LAT 18xx courses, CLA 5xxx seminars. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y.", Competence in the research process by applying an existing body of knowledge in the critical analysis of a new question or of a specific problem or issue in a new setting.,Ability to choose appropriate methodologies for addressing a specific research question. 
13,Level of Application of Knowledge," 1.GRK/LAT 18xx courses, CLA 5xxx seminars. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y. 3.CLA 5xxx seminars, Graduate Research Paper. For AH/MC students, CLA 3020Y.", Competence in the research process by applying an existing body of knowledge in the critical analysis of a new question or of a specific problem or issue in a new setting.,"The ability to apply the methodological principles of their field to new texts, materials, or problems."
14,Professional Capacity/Autonomy," 1.CLA 5xxx seminar papers, Graduate Research Paper. 2.CLA 5xxx presentations and papers, Graduate Research Paper. 3.CLA 5xxx seminar papers, Graduate Research Paper. 4.All course work, qualifying exam preparation, Graduate Research Paper.", a. The qualities and transferable skills necessary for employment requiring i) The exercise of initiative and of personal responsibility and accountability; and ii) Decision- making in complex situations; b. The intellectual independence required for continuing professional development; c. The ethical behaviour consistent with academic integrity and the use of appropriate guidelines and procedures for responsible conduct of research; and d. The ability to appreciate the broader implications of applying knowledge to particular contexts.,
14,Professional Capacity/Autonomy," 1.CLA 5xxx seminar papers, Graduate Research Paper. 2.CLA 5xxx presentations and papers, Graduate Research Paper. 3.CLA 5xxx seminar papers, Graduate Research Paper. 4.All course work, qualifying exam preparation, Graduate Research Paper.", a. The qualities and transferable skills necessary for employment requiring i) The exercise of initiative and of personal responsibility and accountability; and ii) Decision- making in complex situations; b. The intellectual independence required for continuing professional development; c. The ethical behaviour consistent with academic integrity and the use of appropriate guidelines and procedures for responsible conduct of research; and d. The ability to appreciate the broader implications of applying knowledge to particular contexts.,Understanding of the practices of responsible citation and engagement with secondary literature. 
14,Professional Capacity/Autonomy," 1.CLA 5xxx seminar papers, Graduate Research Paper. 2.CLA 5xxx presentations and papers, Graduate Research Paper. 3.CLA 5xxx seminar papers, Graduate Research Paper. 4.All course work, qualifying exam preparation, Graduate Research Paper.", a. The qualities and transferable skills necessary for employment requiring i) The exercise of initiative and of personal responsibility and accountability; and ii) Decision- making in complex situations; b. The intellectual independence required for continuing professional development; c. The ethical behaviour consistent with academic integrity and the use of appropriate guidelines and procedures for responsible conduct of research; and d. The ability to appreciate the broader implications of applying knowledge to particular contexts.,The ability to respond constructively to the ideas and arguments of others. 
14,Professional Capacity/Autonomy," 1.CLA 5xxx seminar papers, Graduate Research Paper. 2.CLA 5xxx presentations and papers, Graduate Research Paper. 3.CLA 5xxx seminar papers, Graduate Research Paper. 4.All course work, qualifying exam preparation, Graduate Research Paper.", a. The qualities and transferable skills necessary for employment requiring i) The exercise of initiative and of personal responsibility and accountability; and ii) Decision- making in complex situations; b. The intellectual independence required for continuing professional development; c. The ethical behaviour consistent with academic integrity and the use of appropriate guidelines and procedures for responsible conduct of research; and d. The ability to appreciate the broader implications of applying knowledge to particular contexts.,The ability to revise their work in response to feedback. 
14,Professional Capacity/Autonomy," 1.CLA 5xxx seminar papers, Graduate Research Paper. 2.CLA 5xxx presentations and papers, Graduate Research Paper. 3.CLA 5xxx seminar papers, Graduate Research Paper. 4.All course work, qualifying exam preparation, Graduate Research Paper.", a. The qualities and transferable skills necessary for employment requiring i) The exercise of initiative and of personal responsibility and accountability; and ii) Decision- making in complex situations; b. The intellectual independence required for continuing professional development; c. The ethical behaviour consistent with academic integrity and the use of appropriate guidelines and procedures for responsible conduct of research; and d. The ability to appreciate the broader implications of applying knowledge to particular contexts.,The ability to finish assignments in a timely manner; the capacity to set and stick to a schedule for autonomous exam preparation.
15,Level of Communications Skills," 1.GRK/LAT 18xx courses, CLA5xxx seminars. 2.GRK/LAT 18xx courses, CLA 5xxx seminars, Graduate Research Paper. 3.Graduate Research Paper."," The ability to communicate ideas, issues and conclusions clearly.",
15,Level of Communications Skills," 1.GRK/LAT 18xx courses, CLA5xxx seminars. 2.GRK/LAT 18xx courses, CLA 5xxx seminars, Graduate Research Paper. 3.Graduate Research Paper."," The ability to communicate ideas, issues and conclusions clearly.",The ability to present interpretations and arguments orally. 
15,Level of Communications Skills," 1.GRK/LAT 18xx courses, CLA5xxx seminars. 2.GRK/LAT 18xx courses, CLA 5xxx seminars, Graduate Research Paper. 3.Graduate Research Paper."," The ability to communicate ideas, issues and conclusions clearly.",The ability to express ideas and arguments clearly in written form. 
15,Level of Communications Skills," 1.GRK/LAT 18xx courses, CLA5xxx seminars. 2.GRK/LAT 18xx courses, CLA 5xxx seminars, Graduate Research Paper. 3.Graduate Research Paper."," The ability to communicate ideas, issues and conclusions clearly.",The ability to organize ideas and arguments logically in an extended work of writing.
16,Awareness of Limits of Knowledge," 1.CLA 5xxx, qualifying exam, Graduate Research Paper. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars. For AH/ MC students, CLA 3020Y."," Cognizance of the complexity of knowledge and of the potential contributions of other interpretations, methods, and disciplines.",
16,Awareness of Limits of Knowledge," 1.CLA 5xxx, qualifying exam, Graduate Research Paper. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars. For AH/ MC students, CLA 3020Y."," Cognizance of the complexity of knowledge and of the potential contributions of other interpretations, methods, and disciplines.",Awareness of the breadth of the field and the place of their own area of focus within it. 
16,Awareness of Limits of Knowledge," 1.CLA 5xxx, qualifying exam, Graduate Research Paper. For AH/MC students, CLA 3020Y. 2.CLA 5xxx seminars. For AH/ MC students, CLA 3020Y."," Cognizance of the complexity of knowledge and of the potential contributions of other interpretations, methods, and disciplines.",General awareness of the value of methodologies drawn from other disciplines in interpreting ancient material.
